,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
684,QCRH,0.6346863468634686,0,99,0,86,0.0,1.0,0.0,1.0
685,QD,0.36250000000000004,54,48,54,29,0.5294117647058824,0.47058823529411764,0.6506024096385542,0.3493975903614458
686,PTON,0.4137931034482759,9,8,9,6,0.5294117647058824,0.47058823529411764,0.6,0.4
687,PZZA,0.6141078838174273,18,68,25,74,0.20930232558139536,0.7906976744186046,0.25252525252525254,0.7474747474747475
688,QCOM,0.6068376068376068,22,75,17,71,0.2268041237113402,0.7731958762886598,0.19318181818181818,0.8068181818181818
689,PZN,0.43037974683544294,61,41,49,34,0.5980392156862745,0.4019607843137255,0.5903614457831325,0.40963855421686746
690,QMCO,0.6451612903225806,17,71,17,80,0.19318181818181818,0.8068181818181818,0.17525773195876287,0.8247422680412371
691,QRTEA,0.45161290322580644,65,32,53,35,0.6701030927835051,0.32989690721649484,0.6022727272727273,0.3977272727272727
692,PTVCA,0.4814814814814815,42,38,18,26,0.525,0.475,0.4090909090909091,0.5909090909090909
693,QTS,0.6244343891402715,33,55,28,69,0.375,0.625,0.28865979381443296,0.711340206185567
694,QUAD,0.0,98,0,87,0,1.0,0.0,1.0,0.0
695,PVG,0.5673076923076924,36,53,37,59,0.4044943820224719,0.5955056179775281,0.3854166666666667,0.6145833333333334
696,RBBN,0.1818181818181818,85,13,77,10,0.8673469387755102,0.1326530612244898,0.8850574712643678,0.11494252873563218
697,RCI,0.6446886446886447,0,97,0,88,0.0,1.0,0.0,1.0
698,RARE,0.5566037735849056,32,62,32,59,0.3404255319148936,0.6595744680851063,0.3516483516483517,0.6483516483516484
699,RCG,0.0,107,0,74,0,1.0,0.0,1.0,0.0
700,QVCD,0.6174496644295302,14,48,9,46,0.22580645161290322,0.7741935483870968,0.16363636363636364,0.8363636363636363
701,RBZ,0.0,82,0,52,0,1.0,0.0,1.0,0.0
702,RDVT,0.5287356321839081,29,51,31,46,0.3625,0.6375,0.4025974025974026,0.5974025974025974
703,RCM,0.6832740213523132,0,89,0,96,0.0,1.0,0.0,1.0
704,RCB,0.0,96,0,77,0,1.0,0.0,1.0,0.0
